google_link,lon,lat,co_entidade,no_entidade,code_muni,name_muni,SearchedAddress,MatchedAddress,PrecisionDepth,geocode_engine,n_vizinhos
"https://www.google.com/maps/@-23.6679742,-46.6354068,19z",-46.6354068,-23.6679742,35381111,CEU EMEF CAMINHO DO MAR,3550308,Sao Paulo,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241 VILA DO ENCONTRO. 04325-001 São Paulo - SP.","Av. Eng. Armando de Arruda Pereira, 5241 - Vila do Encontro, São Paulo - SP, 04413, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.6679742,-46.6354068,19z",-46.6354068,-23.6679742,35455441,CEU AT COMPL CAMINHO DO MAR - DULCE SALLES CUNHA BRAGA PROFA,3550308,Sao Paulo,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241 VILA DO ENCONTRO. 04325-001 São Paulo - SP.","Av. Eng. Armando de Arruda Pereira, 5241 - Vila do Encontro, São Paulo - SP, 04413, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.6679742,-46.6354068,19z",-46.6354068,-23.6679742,35381111,CEU EMEF JOSE REZENDE PROF,3550308,Sao Paulo,"ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 5241 VILA DO ENCONTRO. 04325-001 São Paulo - SP.","Av. Eng. Armando de Arruda Pereira, 5241 - Vila do Encontro, São Paulo - SP, 04413, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4985012,-46.4961177,19z",-46.4961177,-23.4985012,35357030,CEU EMEF ROSANGELA RODRIGUES VIEIRA PROFA,3550308,Sao Paulo,"LUIZ IMPARATO, 564 PARQUE CISPER. 03819-160 São Paulo - SP.","LUIZ IMPARATO, 564 PARQUE CISPER. 03819-160 São Paulo - SP.",inep,inep,3
"https://www.google.com/maps/@-23.4985,-46.496,19z",-46.496,-23.4985,35357005,CEU CEI QUINTA DO SOL,3550308,Sao Paulo,"LUIZ IMPARATO, 564 PARQUE CISPER. 03819-160 São Paulo - SP.","LUIZ IMPARATO, 564 PARQUE CISPER. 03819-160 São Paulo - SP.",inep,inep,3
"https://www.google.com/maps/@-23.4985,-46.496,19z",-46.496,-23.4985,35357017,CEU EMEI BRAZ JAIME ROMANO,3550308,Sao Paulo,"LUIZ IMPARATO, 564 PARQUE CISPER. 03819-160 São Paulo - SP.","LUIZ IMPARATO, 564 PARQUE CISPER. 03819-160 São Paulo - SP.",inep,inep,3
"https://www.google.com/maps/@-23.4985,-46.496,19z",-46.496,-23.4985,35455912,CEU AT COMPL QUINTA DO SOL,3550308,Sao Paulo,"LUIZ IMPARATO, 564 PARQUE CISPER. 03819-160 São Paulo - SP.","LUIZ IMPARATO, 564 PARQUE CISPER. 03819-160 São Paulo - SP.",inep,inep,3
"https://www.google.com/maps/@-12.9305876,-38.4974432,19z",-38.4974432,-12.9305876,29187044,ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,2927408,Salvador,"AVENIDA SAO ROQUE, 17 REGIS PACHECO. URUGUAI. 40450-355 Salvador - BA.","AVENIDA SAO ROQUE, 17 REGIS PACHECO. URUGUAI. 40450-355 Salvador - BA.",inep,inep,3
"https://www.google.com/maps/@-12.930605,-38.4974212,19z",-38.4974212,-12.930605,29192811,ESCOLA MUNICIPAL HILBERTO SILVA,2927408,Salvador,"1ª TRAVESSA SAO DOMINGOS, 126 BAIXA DO FISCAL. CALCADA. 40411-200 Salvador - BA.","1ª TRAVESSA SAO DOMINGOS, 126 BAIXA DO FISCAL. CALCADA. 40411-200 Salvador - BA.",inep,inep,4
"https://www.google.com/maps/@-12.9306207,-38.4973792,19z",-38.4973792,-12.9306207,29198771,ESCOLA MUNICIPAL SOCIEDADE 6 DE JANEIRO,2927408,Salvador,"RUA SEIS DE JANEIRO, 65 URUGUAI. 40450-260 Salvador - BA.","RUA SEIS DE JANEIRO, 65 URUGUAI. 40450-260 Salvador - BA.",inep,inep,4
"https://www.google.com/maps/@-12.9305837,-38.4973597,19z",-38.4973597,-12.9305837,29189845,ESCOLA MUNICIPAL CARMELITANA DO MENINO JESUS,2927408,Salvador,"PRACA COMANDANTE ELIZIARIO BARBOSA, 132 URUGUAI. URUGUAI. 40450-170 Salvador - BA.","PRACA COMANDANTE ELIZIARIO BARBOSA, 132 URUGUAI. URUGUAI. 40450-170 Salvador - BA.",inep,inep,4
"https://www.google.com/maps/@-12.9305348,-38.4973093,19z",-38.4973093,-12.9305348,29189837,ESCOLA MUNICIPAL CARMELITANA 25 DE AGOSTO,2927408,Salvador,"RUA LUIZ REGIS PACHECO, 860 URUGUAI. 40451-360 Salvador - BA.","RUA LUIZ REGIS PACHECO, 860 URUGUAI. 40451-360 Salvador - BA.",inep,inep,3
"https://www.google.com/maps/@-12.9630968,-38.4845942,19z",-38.4845942,-12.9630968,29188636,ESCOLA MUNICIPAL VILA VICENTINA,2927408,Salvador,"ESTRADA DA LIBERDADE, 07 LAPINHA. LIBERDADE. 40325-220 Salvador - BA.","ESTRADA DA LIBERDADE, 07 LAPINHA. LIBERDADE. 40325-220 Salvador - BA.",inep,inep,3
"https://www.google.com/maps/@-12.9630897,-38.4845694,19z",-38.4845694,-12.9630897,29194628,ESCOLA MUNICIPAL JULIETA VIANA,2927408,Salvador,"AVENIDA BARROS REIS, 257 ROTULA ABACAXI. PAU MIUDO. 40310-010 Salvador - BA.","AVENIDA BARROS REIS, 257 ROTULA ABACAXI. PAU MIUDO. 40310-010 Salvador - BA.",inep,inep,3
"https://www.google.com/maps/@-12.9631705,-38.484539,19z",-38.484539,-12.9631705,29189527,ESCOLA MUNICIPAL BARAO DO RIO BRANCO,2927408,Salvador,"RUA VITOR SERRA, 248 PERO VAZ. 40340-290 Salvador - BA.","RUA VITOR SERRA, 248 PERO VAZ. 40340-290 Salvador - BA.",inep,inep,3
"https://www.google.com/maps/@-12.963027,-38.4845335,19z",-38.4845335,-12.963027,29190339,ESCOLA MUNICIPAL JOSAFA CARLOS BORGES,2927408,Salvador,"RUA NEVES DA ROCHA, 39 CAIXA D AGUA. 40320-530 Salvador - BA.","RUA NEVES DA ROCHA, 39 CAIXA D AGUA. 40320-530 Salvador - BA.",inep,inep,3
