id_hex,id_estab,total_2017,input_2017,total_2018,input_2018,razao_social
89a8a06a013ffff,00423734000183,7,rais_2017,9,rais_2017,LBM VIAGENS E TURISMO LTDA EPP
89a8a06a013ffff,00447600032507,5,rais_2017,,,
89a8a06a013ffff,00452700000505,24,rais_2017,24,rais_2017,MARIO GONCALVES
89a8a06a013ffff,00500023437908,1,rais_2017,,,
89a8a06a013ffff,00500151513902,1,rais_2017,1,rais_2017,EDUARDO LEAO SALLES
89a8a06a013ffff,00500158405703,28,rais_2017,30,rais_2017,JOSE MARIO PINHEIRO PINTO
89a8a06a013ffff,00500170361909,1,rais_2017,,,
89a8a06a013ffff,00500204923606,1,rais_2017,2,rais_2017,SIMONE BASTOS STRINGHINI
89a8a06a013ffff,00500333882004,4,rais_2017,2,cep_changed_2018,RODRIGO DA SILVA COSTA
89a8a06a013ffff,00501394908808,,,1,new_estab_2018,LEANDRO DIAS BRAME
89a8a06a013ffff,00511472808300,4,rais_2017,,,
89a8a06a013ffff,00512022531001,1,rais_2017,1,rais_2017,JULIO CESAR CANDIDO SILVA
89a8a06a013ffff,00512024851809,4,rais_2017,,,
89a8a06a013ffff,00512079236200,1,rais_2017,1,rais_2017,ALICE BATISTA PESSANHA
89a8a06a013ffff,00512112216203,66,rais_2017,56,rais_2017,GUSTAVO BANDEIRA DA ROCHA OLIVEIRA
89a8a06a013ffff,00512337964608,42,rais_2017,,,
89a8a06a013ffff,00512406746208,,,1,new_estab_2018,LUIZ AUGUSTO FELICIO WESTIN DE CARVALHO
89a8a06a013ffff,00595154000254,9,rais_2017,9,rais_2017,FIRST TECH TECNOLOGIA LTDA
89a8a06a013ffff,00652273000110,19,rais_2017,19,rais_2017,COND ED CENT EMP ARTHUR JOAO DONATO
89a8a06a013ffff,00674097000118,4,rais_2017,4,rais_2017,MARTEL ASSESSORIA E CONSULTORIA AERONAUT
89a8a06a013ffff,00700058782107,25,rais_2017,21,rais_2017,HERMES VALVERDE DA CUNHA VASCONCELLOS FI
89a8a06a013ffff,00781337000183,2,rais_2017,2,rais_2017,EREA PARTICIPACAO E ADMINISTRACAO LTDA
89a8a06a013ffff,00888900000117,2,rais_2017,2,rais_2017,COPYRIGHTS CONSULTORIA LTDA
89a8a06a013ffff,00959805000167,8,rais_2017,7,rais_2017,COND ED MAYAPAN
89a8a06a013ffff,00975283000197,4,rais_2017,4,rais_2017,RLC RIO QUALITY SERVICOS EIRELI ME
89a8a06a013ffff,01125797002240,6,rais_2017,,,
89a8a06a013ffff,01283814000143,37,rais_2017,82,rais_2017,CONSTRUTORA TENERIFE LTDA
89a8a06a013ffff,01286708000113,16,rais_2017,13,rais_2017,ABALONE TURISMO LTDA.
89a8a06a013ffff,01315457000239,2,rais_2017,2,rais_2017,PEREIRA DE CARVALHO E MONTEIRO GALVAO ADVOG -
